artist,n_posts,n_comments,duration_sec,timestamp
Radiohead,5,6,4.78,2025-11-09 00:05:49
"Tyler, The Creator",4,9,4.86,2025-11-09 00:05:55
Lady Gaga,8,15,6.86,2025-11-09 00:06:02
Kendrick Lamar,6,12,6.26,2025-11-09 00:06:09
Kanye West,8,12,5.82,2025-11-09 00:06:16
Ariana Grande,14,14,8.97,2025-11-09 00:06:25
Drake,16,40,19.39,2025-11-09 00:06:45
Sabrina Carpenter,12,27,11.58,2025-11-09 00:06:58
The Weeknd,6,7,8.86,2025-11-09 00:07:08
Taylor Swift,19,40,20.37,2025-11-09 00:07:29
Sabrina Carpenter,12,27,11.61,2025-11-09 00:22:40
Clairo,0,0,1.8,2025-11-09 00:22:42
Green Day,9,13,5.7,2025-11-09 00:22:49
The Weeknd,6,7,7.97,2025-11-09 00:22:57
TWICE,10,9,7.7,2025-11-09 00:23:36
Travis Scott,3,6,3.16,2025-11-09 00:23:40
beabadoobee,0,0,1.95,2025-11-09 00:23:43
Hozier,8,19,13.41,2025-11-09 00:23:57
Lady Gaga,8,15,6.07,2025-11-09 00:24:04
Conan Gray,1,3,2.53,2025-11-09 00:24:07
Sabrina Carpenter,12,27,11.69,2025-11-09 00:26:06
Clairo,0,0,1.49,2025-11-09 00:26:08
Green Day,9,13,5.62,2025-11-09 00:26:14
The Weeknd,6,7,7.4,2025-11-09 00:26:22
TWICE,10,9,7.96,2025-11-09 00:26:30
Travis Scott,3,6,2.83,2025-11-09 00:26:34
beabadoobee,0,0,1.51,2025-11-09 00:26:36
Hozier,8,19,12.65,2025-11-09 00:26:49
Lady Gaga,8,15,5.71,2025-11-09 00:26:55
Conan Gray,1,3,2.25,2025-11-09 00:26:58
Olivia Rodrigo,12,25,14.37,2025-11-09 08:49:06
Kali Uchis,0,0,2.43,2025-11-09 08:49:40
Maroon 5,0,0,2.89,2025-11-09 08:49:44
PinkPantheress,4,10,5.59,2025-11-09 08:49:50
Don Toliver,0,0,2.43,2025-11-09 08:49:54
Justin Bieber,6,14,5.73,2025-11-09 08:50:01
d4vid,1,0,6.4,2025-11-09 08:50:08
Jeff Buckley,1,3,6.23,2025-11-09 08:50:15
Red Hot Chili Peppers,3,6,3.1,2025-11-09 08:51:50
SZA,8,18,7.41,2025-11-09 08:52:28
Clairo,0,0,2.55,2025-11-09 09:29:31
Mac Miller,0,0,2.0,2025-11-09 09:31:05
Maroon 5,0,0,2.25,2025-11-09 09:31:08
PinkPantheress,4,10,5.14,2025-11-09 09:32:45
Britney Spears,4,3,3.59,2025-11-09 09:32:50
d4vid,1,0,2.14,2025-11-09 09:40:26
Kesha,4,6,3.55,2025-11-09 09:40:31
System of a Down,5,10,5.14,2025-11-09 09:41:08
SZA,8,20,8.17,2025-11-09 09:42:48
Clairo,0,0,2.22,2025-11-09 11:28:42
Mac Miller,0,0,2.12,2025-11-09 11:33:32
Maroon 5,0,0,1.77,2025-11-09 11:38:20
PinkPantheress,4,10,15.72,2025-11-09 11:42:04
Britney Spears,4,3,8.86,2025-11-09 11:45:13
The Smiths,4,2,5.21,2025-11-09 11:48:09
d4vid,1,0,2.78,2025-11-09 11:51:19
Kesha,4,6,10.5,2025-11-09 11:54:41
System of a Down,5,10,14.42,2025-11-09 11:58:41
SZA,8,20,27.33,2025-11-09 12:02:23
